,Row,Col,Sector,Positivity,Block,Grouping
96,9,1,1,0.00122679,D,TFL
97,9,2,1,0.00136804,D,TFL
98,9,3,1,0.028118900000000002,D,TFL
99,9,4,1,0.0161996,D,TFL
100,9,5,1,0.0846203,D,TFL
101,9,6,1,0.09784910000000001,D,TFL
102,9,7,1,0.0185935,D,TFL
103,9,8,1,0.0243535,D,TFL
104,9,9,1,0.0157701,D,TFL
105,9,10,1,0.017176300000000002,D,TFL
106,9,11,1,0.0733345,D,TFL
107,9,12,1,0.0471279,D,TFL
0,1,1,1,,E,TFL
1,1,2,1,,E,TFL
2,1,3,1,,E,TFL
3,1,4,1,,E,TFL
4,1,5,1,,E,TFL
5,1,6,1,,E,TFL
6,1,7,1,,E,TFL
7,1,8,1,,E,TFL
8,1,9,1,,E,TFL
9,1,10,1,,E,TFL
10,1,11,1,,E,TFL
11,1,12,1,,E,TFL
12,2,1,1,0.0194886,E,TFL
13,2,2,1,0.0161089,E,TFL
14,2,3,1,,E,TFL
15,2,4,1,,E,TFL
16,2,5,1,0.00758023,E,TFL
17,2,6,1,0.00512341,E,TFL
18,2,7,1,0.00538264,E,TFL
19,2,8,1,0.00697619,E,TFL
20,2,9,1,,E,TFL
21,2,10,1,,E,TFL
22,2,11,1,0.0552085,E,TFL
23,2,12,1,0.0496155,E,TFL
24,3,1,1,,E,TFL
25,3,2,1,,E,TFL
26,3,3,1,,E,TFL
27,3,4,1,,E,TFL
28,3,5,1,0.06926560000000001,E,TFL
29,3,6,1,0.0678064,E,TFL
30,3,7,1,,E,TFL
31,3,8,1,,E,TFL
32,3,9,1,0.026019999999999998,E,TFL
33,3,10,1,0.0356101,E,TFL
34,3,11,1,,E,TFL
35,3,12,1,,E,TFL
36,4,1,1,0.0220233,E,TFL
37,4,2,1,0.0292248,E,TFL
38,4,3,1,,E,TFL
39,4,4,1,,E,TFL
40,4,5,1,0.019321900000000003,E,TFL
41,4,6,1,0.0135207,E,TFL
42,4,7,1,,E,TFL
43,4,8,1,,E,TFL
44,4,9,1,0.0158231,E,TFL
45,4,10,1,0.0256684,E,TFL
46,4,11,1,0.022523400000000002,E,TFL
47,4,12,1,0.0131591,E,TFL
48,5,1,1,,E,TFL
49,5,2,1,,E,TFL
50,5,3,1,,E,TFL
51,5,4,1,,E,TFL
52,5,5,1,0.014752700000000002,E,TFL
53,5,6,1,0.0198733,E,TFL
54,5,7,1,0.0171432,E,TFL
55,5,8,1,0.015026499999999998,E,TFL
56,5,9,1,,E,TFL
57,5,10,1,,E,TFL
58,5,11,1,,E,TFL
59,5,12,1,,E,TFL
60,6,1,1,0.0311813,E,TFL
61,6,2,1,0.06656619999999999,E,TFL
62,6,3,1,0.0339415,E,TFL
63,6,4,1,0.0347721,E,TFL
64,6,5,1,,E,TFL
65,6,6,1,,E,TFL
66,6,7,1,0.0118057,E,TFL
67,6,8,1,0.0173653,E,TFL
68,6,9,1,,E,TFL
69,6,10,1,,E,TFL
70,6,11,1,,E,TFL
71,6,12,1,,E,TFL
72,7,1,1,,E,TFL
73,7,2,1,,E,TFL
74,7,3,1,0.025969,E,TFL
75,7,4,1,0.026771,E,TFL
76,7,5,1,,E,TFL
77,7,6,1,,E,TFL
78,7,7,1,,E,TFL
79,7,8,1,,E,TFL
80,7,9,1,0.0315027,E,TFL
81,7,10,1,0.016567099999999998,E,TFL
82,7,11,1,,E,TFL
83,7,12,1,,E,TFL
84,8,1,1,0.00555377,E,TFL
85,8,2,1,0.00424706,E,TFL
86,8,3,1,,E,TFL
87,8,4,1,,E,TFL
88,8,5,1,,E,TFL
89,8,6,1,,E,TFL
90,8,7,1,0.0357878,E,TFL
91,8,8,1,0.030769,E,TFL
92,8,9,1,0.0477126,E,TFL
93,8,10,1,0.0472101,E,TFL
94,8,11,1,,E,TFL
95,8,12,1,,E,TFL
96,9,1,1,0.0233792,E,TFL
97,9,2,1,0.026755200000000003,E,TFL
98,9,3,1,0.00807691,E,TFL
99,9,4,1,0.00776532,E,TFL
100,9,5,1,,E,TFL
101,9,6,1,,E,TFL
102,9,7,1,0.00615871,E,TFL
103,9,8,1,0.0219224,E,TFL
104,9,9,1,,E,TFL
105,9,10,1,,E,TFL
106,9,11,1,,E,TFL
107,9,12,1,,E,TFL
0,1,1,1,0.0295321,F,TFL
1,1,2,1,0.037212,F,TFL
2,1,3,1,0.0421348,F,TFL
3,1,4,1,0.026548900000000004,F,TFL
4,1,5,1,0.0118881,F,TFL
5,1,6,1,0.0,F,TFL
6,1,7,1,0.0225225,F,TFL
7,1,8,1,0.156069,F,TFL
8,1,9,1,0.0,F,TFL
9,1,10,1,0.0,F,TFL
10,1,11,1,0.00970874,F,TFL
11,1,12,1,0.029520299999999996,F,TFL
12,2,1,1,0.0976977,F,TFL
13,2,2,1,0.105476,F,TFL
14,2,3,1,0.021474299999999998,F,TFL
15,2,4,1,0.0144946,F,TFL
16,2,5,1,0.38411100000000004,F,TFL
17,2,6,1,0.43433599999999994,F,TFL
18,2,7,1,0.039536400000000006,F,TFL
19,2,8,1,0.0371398,F,TFL
20,2,9,1,0.06738689999999999,F,TFL
21,2,10,1,0.038397,F,TFL
22,2,11,1,0.031536,F,TFL
23,2,12,1,0.040993800000000004,F,TFL
24,3,1,1,0.041710000000000004,F,TFL
25,3,2,1,0.0861961,F,TFL
26,3,3,1,0.125675,F,TFL
27,3,4,1,0.108004,F,TFL
28,3,5,1,0.0735215,F,TFL
29,3,6,1,0.108528,F,TFL
30,3,7,1,0.0321221,F,TFL
31,3,8,1,0.0278557,F,TFL
32,3,9,1,0.0499758,F,TFL
33,3,10,1,0.050265699999999996,F,TFL
34,3,11,1,0.0657197,F,TFL
35,3,12,1,0.0572736,F,TFL
36,4,1,1,0.0320439,F,TFL
37,4,2,1,0.0220268,F,TFL
38,4,3,1,0.049157,F,TFL
39,4,4,1,0.0474495,F,TFL
40,4,5,1,0.048793699999999995,F,TFL
41,4,6,1,0.0551311,F,TFL
42,4,7,1,0.053643399999999994,F,TFL
43,4,8,1,0.0691336,F,TFL
44,4,9,1,0.0561153,F,TFL
45,4,10,1,0.06454109999999999,F,TFL
46,4,11,1,0.0563798,F,TFL
47,4,12,1,0.04311,F,TFL
48,5,1,1,0.035557,F,TFL
49,5,2,1,0.030064999999999998,F,TFL
50,5,3,1,0.00984617,F,TFL
51,5,4,1,0.00975546,F,TFL
52,5,5,1,0.042912599999999995,F,TFL
53,5,6,1,0.0401495,F,TFL
54,5,7,1,0.0429733,F,TFL
55,5,8,1,0.0470931,F,TFL
56,5,9,1,0.026487599999999997,F,TFL
57,5,10,1,0.0244059,F,TFL
58,5,11,1,0.0290238,F,TFL
59,5,12,1,0.0228305,F,TFL
60,6,1,1,0.0088146,F,TFL
61,6,2,1,0.013713499999999998,F,TFL
62,6,3,1,0.019398699999999998,F,TFL
63,6,4,1,0.016943700000000003,F,TFL
64,6,5,1,0.0098558,F,TFL
65,6,6,1,0.00817053,F,TFL
66,6,7,1,0.026981799999999997,F,TFL
67,6,8,1,0.045076,F,TFL
68,6,9,1,0.0460604,F,TFL
69,6,10,1,0.0383169,F,TFL
70,6,11,1,0.028473000000000002,F,TFL
71,6,12,1,0.0263922,F,TFL
72,7,1,1,0.0218851,F,TFL
73,7,2,1,0.023003599999999996,F,TFL
74,7,3,1,0.027261,F,TFL
75,7,4,1,0.0286019,F,TFL
76,7,5,1,0.0288569,F,TFL
77,7,6,1,0.024799599999999998,F,TFL
78,7,7,1,0.0435223,F,TFL
79,7,8,1,0.030901799999999997,F,TFL
80,7,9,1,0.0265083,F,TFL
81,7,10,1,0.031197700000000002,F,TFL
82,7,11,1,0.025219,F,TFL
83,7,12,1,0.0257754,F,TFL
84,8,1,1,0.0198798,F,TFL
85,8,2,1,0.021884200000000003,F,TFL
86,8,3,1,0.0163547,F,TFL
87,8,4,1,0.0176589,F,TFL
88,8,5,1,0.000516033,F,TFL
89,8,6,1,0.000894257,F,TFL
90,8,7,1,0.0044466,F,TFL
91,8,8,1,0.00699882,F,TFL
92,8,9,1,0.019068099999999998,F,TFL
93,8,10,1,0.0118134,F,TFL
94,8,11,1,0.033904000000000004,F,TFL
95,8,12,1,0.0275774,F,TFL
96,9,1,1,0.011136499999999999,F,TFL
97,9,2,1,0.006823899999999999,F,TFL
98,9,3,1,0.0489751,F,TFL
99,9,4,1,0.007276100000000001,F,TFL
100,9,5,1,0.00221895,F,TFL
101,9,6,1,0.00118985,F,TFL
102,9,7,1,0.059882000000000005,F,TFL
103,9,8,1,0.058183900000000004,F,TFL
104,9,9,1,0.0468208,F,TFL
105,9,10,1,0.0447227,F,TFL
106,9,11,1,0.0422831,F,TFL
107,9,12,1,0.025838599999999996,F,TFL
0,1,1,1,0.0481435,G,TFL
1,1,2,1,0.0399865,G,TFL
2,1,3,1,0.00124656,G,TFL
3,1,4,1,0.00119908,G,TFL
4,1,5,1,0.0225564,G,TFL
5,1,6,1,0.010582,G,TFL
6,1,7,1,0.0132159,G,TFL
7,1,8,1,0.0983607,G,TFL
8,1,9,1,0.0,G,TFL
9,1,10,1,0.021364599999999997,G,TFL
10,1,11,1,0.00217391,G,TFL
11,1,12,1,0.00480769,G,TFL
12,2,1,1,0.0206039,G,TFL
13,2,2,1,0.0223298,G,TFL
14,2,3,1,0.0422414,G,TFL
15,2,4,1,0.042197000000000005,G,TFL
16,2,5,1,0.00543154,G,TFL
17,2,6,1,0.00739453,G,TFL
18,2,7,1,0.00787245,G,TFL
19,2,8,1,0.00667845,G,TFL
20,2,9,1,0.00774081,G,TFL
21,2,10,1,0.011162100000000001,G,TFL
22,2,11,1,0.0702892,G,TFL
23,2,12,1,0.0191,G,TFL
24,3,1,1,0.0331917,G,TFL
25,3,2,1,0.010357600000000002,G,TFL
26,3,3,1,0.0181917,G,TFL
27,3,4,1,0.018148599999999997,G,TFL
28,3,5,1,0.033935599999999996,G,TFL
29,3,6,1,0.037025,G,TFL
30,3,7,1,0.0160502,G,TFL
31,3,8,1,0.017034599999999997,G,TFL
32,3,9,1,0.09171599999999999,G,TFL
